Event,Fight,Fighter,Round,KD,TotStr,TD,TdPct,SubAtt,Rev,CtrlTime,SigStr,SigStrPct,Head,Body,Leg,Distance,Clinch,Ground
UFC Fight Night: Gane vs. Spivac,Nora Cornolle vs. Joselyne Edwards,Nora Cornolle,1,0,30 of 44,0 of 0,---,0,1,0:28,16 of 24,66%,3 of 10,7 of 7,6 of 7,9 of 17,7 of 7,0 of 0
UFC Fight Night: Gane vs. Spivac,Nora Cornolle vs. Joselyne Edwards,Nora Cornolle,2,0,15 of 26,0 of 0,---,0,1,0:46,4 of 12,33%,2 of 8,0 of 1,2 of 3,4 of 10,0 of 2,0 of 0
UFC Fight Night: Gane vs. Spivac,Nora Cornolle vs. Joselyne Edwards,Nora Cornolle,3,0,40 of 64,0 of 0,---,0,1,0:57,20 of 41,48%,7 of 19,10 of 16,3 of 6,4 of 12,16 of 29,0 of 0
UFC Fight Night: Gane vs. Spivac,Nora Cornolle vs. Joselyne Edwards,Joselyne Edwards,1,0,24 of 36,1 of 2,50%,0,0,3:04,7 of 14,50%,3 of 6,2 of 2,2 of 6,5 of 12,2 of 2,0 of 0
UFC Fight Night: Gane vs. Spivac,Nora Cornolle vs. Joselyne Edwards,Joselyne Edwards,2,0,31 of 48,3 of 3,100%,0,0,2:47,4 of 12,33%,1 of 6,2 of 3,1 of 3,3 of 9,1 of 2,0 of 1
UFC Fight Night: Gane vs. Spivac,Nora Cornolle vs. Joselyne Edwards,Joselyne Edwards,3,0,20 of 36,1 of 3,33%,1,0,2:51,7 of 16,43%,2 of 8,4 of 4,1 of 4,6 of 14,1 of 2,0 of 0
UFC Fight Night: Gane vs. Spivac,Farid Basharat vs. Kleydson Rodrigues,Farid Basharat,1,0,25 of 36,2 of 5,40%,1,0,3:15,4 of 6,66%,2 of 3,2 of 2,0 of 1,0 of 1,1 of 1,3 of 4
UFC Fight Night: Gane vs. Spivac,Farid Basharat vs. Kleydson Rodrigues,Kleydson Rodrigues,1,0,25 of 26,0 of 0,---,0,0,0:30,7 of 8,87%,3 of 4,2 of 2,2 of 2,4 of 5,1 of 1,2 of 2
UFC Fight Night: Gane vs. Spivac,Zarah Fairn vs. Jacqueline Cavalcanti,Zarah Fairn,1,0,5 of 86,0 of 0,---,0,0,0:00,5 of 86,5%,2 of 82,2 of 3,1 of 1,5 of 86,0 of 0,0 of 0
UFC Fight Night: Gane vs. Spivac,Zarah Fairn vs. Jacqueline Cavalcanti,Zarah Fairn,2,0,10 of 80,0 of 1,0%,0,0,0:00,10 of 80,12%,6 of 74,2 of 4,2 of 2,10 of 80,0 of 0,0 of 0
