Event,Date,Location,Fight,Fighter_A,Fighter_B,Bout,Method,Round,Time,Format,Referee,Details,Winner,Winner_Name,Event_Link
UFC Fight Night: Shogun vs Sonnen,2013-08-17,"Boston, Massachusetts, USA",Mauricio Rua vs. Chael Sonnen,Mauricio Rua,Chael Sonnen,Light Heavyweight Bout,Submission,1,4:47,5 Rnd (5-5-5-5-5),Herb Dean,Guillotine Choke After Drop to Guard,B,Chael Sonnen,http://www.ufcstats.com/event-details/cf1a88371c8cb690
UFC 163: Aldo vs Jung,2013-08-03,"Rio de Janeiro, Brazil",John Lineker vs. Jose Maria,John Lineker,Jose Maria,Flyweight Bout,KO/TKO,2,1:03,3 Rnd (5-5-5),Leon Roberts,Punches to Head On Ground,A,John Lineker,http://www.ufcstats.com/event-details/ebc5af72ad5a28cb
UFC 163: Aldo vs Jung,2013-08-03,"Rio de Janeiro, Brazil",Vinny Magalhaes vs. Anthony Perosh,Vinny Magalhaes,Anthony Perosh,Light Heavyweight Bout,KO/TKO,1,0:14,3 Rnd (5-5-5),Mario Yamasaki,Punch to Head At Distance,B,Anthony Perosh,http://www.ufcstats.com/event-details/ebc5af72ad5a28cb
UFC 163: Aldo vs Jung,2013-08-03,"Rio de Janeiro, Brazil",Lyoto Machida vs. Phil Davis,Lyoto Machida,Phil Davis,Light Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Leon Roberts,Sal D'amato 28 - 29. Chris Watts 28 - 29. Rick Winter 28 - 29.,B,Phil Davis,http://www.ufcstats.com/event-details/ebc5af72ad5a28cb
UFC 163: Aldo vs Jung,2013-08-03,"Rio de Janeiro, Brazil",Cezar Ferreira vs. Thiago Santos,Cezar Ferreira,Thiago Santos,Middleweight Bout,Submission,1,0:47,3 Rnd (5-5-5),Mario Yamasaki,Guillotine Choke On Ground,A,Cezar Ferreira,http://www.ufcstats.com/event-details/ebc5af72ad5a28cb
UFC 163: Aldo vs Jung,2013-08-03,"Rio de Janeiro, Brazil",Jose Aldo vs. Chan Sung Jung,Jose Aldo,Chan Sung Jung,UFC Featherweight Title Bout,KO/TKO,4,2:00,5 Rnd (5-5-5-5-5),Herb Dean,Punches to Head On Ground,A,Jose Aldo,http://www.ufcstats.com/event-details/ebc5af72ad5a28cb
UFC 163: Aldo vs Jung,2013-08-03,"Rio de Janeiro, Brazil",Sergio Moraes vs. Neil Magny,Sergio Moraes,Neil Magny,Welterweight Bout,Submission,1,3:13,3 Rnd (5-5-5),Leon Roberts,Triangle Choke From Mount,A,Sergio Moraes,http://www.ufcstats.com/event-details/ebc5af72ad5a28cb
UFC 163: Aldo vs Jung,2013-08-03,"Rio de Janeiro, Brazil",Amanda Nunes vs. Sheila Gaff,Amanda Nunes,Sheila Gaff,Women's Bantamweight Bout,KO/TKO,1,2:08,3 Rnd (5-5-5),Herb Dean,Elbows to Head From Guard,A,Amanda Nunes,http://www.ufcstats.com/event-details/ebc5af72ad5a28cb
UFC 163: Aldo vs Jung,2013-08-03,"Rio de Janeiro, Brazil",Thales Leites vs. Tom Watson,Thales Leites,Tom Watson,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Guilherme Bravo 27 - 30. Sal D'amato 27 - 30. Rick Winter 27 - 30.,A,Thales Leites,http://www.ufcstats.com/event-details/ebc5af72ad5a28cb
UFC 163: Aldo vs Jung,2013-08-03,"Rio de Janeiro, Brazil",Ian McCall vs. Iliarde Santos,Ian McCall,Iliarde Santos,Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,Sal D'amato 27 - 30. Chris Watts 27 - 30. Mark Collett 28 - 29.,A,Ian McCall,http://www.ufcstats.com/event-details/ebc5af72ad5a28cb
UFC 163: Aldo vs Jung,2013-08-03,"Rio de Janeiro, Brazil",Ednaldo Oliveira vs. Francimar Barroso,Ednaldo Oliveira,Francimar Barroso,Light Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Leon Roberts,Guilherme Bravo 27 - 30. Mark Collett 27 - 30. Rick Winter 27 - 30.,B,Francimar Barroso,http://www.ufcstats.com/event-details/ebc5af72ad5a28cb
UFC 163: Aldo vs Jung,2013-08-03,"Rio de Janeiro, Brazil",Viscardi Andrade vs. Bristol Marunde,Viscardi Andrade,Bristol Marunde,Welterweight Bout,KO/TKO,1,1:36,3 Rnd (5-5-5),Mario Yamasaki,Punch to Head At Distance,A,Viscardi Andrade,http://www.ufcstats.com/event-details/ebc5af72ad5a28cb
UFC 163: Aldo vs Jung,2013-08-03,"Rio de Janeiro, Brazil",Rani Yahya vs. Josh Clopton,Rani Yahya,Josh Clopton,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Guilherme Bravo 28 - 29. Mark Collett 28 - 29. Chris Watts 28 - 29.,A,Rani Yahya,http://www.ufcstats.com/event-details/ebc5af72ad5a28cb
UFC on FOX: Johnson vs Moraga,2013-07-27,"Seattle, Washington, USA",Michael Chiesa vs. Jorge Masvidal,Michael Chiesa,Jorge Masvidal,Lightweight Bout,Submission,2,4:59,3 Rnd (5-5-5),Dan Miragliotta,D'Arce Choke On Ground,B,Jorge Masvidal,http://www.ufcstats.com/event-details/5330fe7e4c3af81c
UFC on FOX: Johnson vs Moraga,2013-07-27,"Seattle, Washington, USA",Danny Castillo vs. Tim Means,Danny Castillo,Tim Means,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Terry Boehlke 28 - 29. Dave Hagen 28 - 29. Glenn Hamada 28 - 29.,A,Danny Castillo,http://www.ufcstats.com/event-details/5330fe7e4c3af81c
UFC on FOX: Johnson vs Moraga,2013-07-27,"Seattle, Washington, USA",Yves Edwards vs. Daron Cruickshank,Yves Edwards,Daron Cruickshank,Lightweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Steve Newport,Lester Griffin 27 - 30. Terry Boehlke 30 - 27. Glenn Hamada 27 - 30.,B,Daron Cruickshank,http://www.ufcstats.com/event-details/5330fe7e4c3af81c
UFC on FOX: Johnson vs Moraga,2013-07-27,"Seattle, Washington, USA",Robbie Lawler vs. Bobby Voelker,Robbie Lawler,Bobby Voelker,Welterweight Bout,KO/TKO,2,0:24,3 Rnd (5-5-5),Dan Miragliotta,Kick to Head At Distance,A,Robbie Lawler,http://www.ufcstats.com/event-details/5330fe7e4c3af81c
UFC on FOX: Johnson vs Moraga,2013-07-27,"Seattle, Washington, USA",Aaron Riley vs. Justin Salas,Aaron Riley,Justin Salas,Lightweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Randy Corley,Sal D'amato 28 - 29. Lamont Nelson 29 - 28. Chris Lee 28 - 29.,B,Justin Salas,http://www.ufcstats.com/event-details/5330fe7e4c3af81c
UFC on FOX: Johnson vs Moraga,2013-07-27,"Seattle, Washington, USA",John Albert vs. Yaotzin Meza,John Albert,Yaotzin Meza,Bantamweight Bout,Submission,2,2:49,3 Rnd (5-5-5),Randy Corley,Rear Naked Choke,B,Yaotzin Meza,http://www.ufcstats.com/event-details/5330fe7e4c3af81c
UFC on FOX: Johnson vs Moraga,2013-07-27,"Seattle, Washington, USA",Rory MacDonald vs. Jake Ellenberger,Rory MacDonald,Jake Ellenberger,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Lester Griffin 27 - 30. Sal D'amato 28 - 29. Dave Hagen 27 - 30.,A,Rory MacDonald,http://www.ufcstats.com/event-details/5330fe7e4c3af81c
UFC on FOX: Johnson vs Moraga,2013-07-27,"Seattle, Washington, USA",Demetrious Johnson vs. John Moraga,Demetrious Johnson,John Moraga,UFC Flyweight Title Bout,Submission,5,3:43,5 Rnd (5-5-5-5-5),Herb Dean,Armbar From Side Control,A,Demetrious Johnson,http://www.ufcstats.com/event-details/5330fe7e4c3af81c
UFC on FOX: Johnson vs Moraga,2013-07-27,"Seattle, Washington, USA",Liz Carmouche vs. Jessica Andrade,Liz Carmouche,Jessica Andrade,Women's Bantamweight Bout,KO/TKO,2,3:57,3 Rnd (5-5-5),Herb Dean,Punches to Head From Mount,A,Liz Carmouche,http://www.ufcstats.com/event-details/5330fe7e4c3af81c
UFC on FOX: Johnson vs Moraga,2013-07-27,"Seattle, Washington, USA",Mac Danzig vs. Melvin Guillard,Mac Danzig,Melvin Guillard,Lightweight Bout,KO/TKO,2,2:47,3 Rnd (5-5-5),Steve Newport,Punch to Head At Distance,B,Melvin Guillard,http://www.ufcstats.com/event-details/5330fe7e4c3af81c
UFC on FOX: Johnson vs Moraga,2013-07-27,"Seattle, Washington, USA",Julie Kedzie vs. Germaine de Randamie,Julie Kedzie,Germaine de Randamie,Women's Bantamweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Randy Corley,Terry Boehlke 27 - 30. Lester Griffin 29 - 28. Lamont Nelson 28 - 29.,B,Germaine de Randamie,http://www.ufcstats.com/event-details/5330fe7e4c3af81c
UFC on FOX: Johnson vs Moraga,2013-07-27,"Seattle, Washington, USA",Ed Herman vs. Trevor Smith,Ed Herman,Trevor Smith,Middleweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,Chris Lee 27 - 30. Sal D'amato 30 - 27. Lester Griffin 28 - 29.,A,Ed Herman,http://www.ufcstats.com/event-details/5330fe7e4c3af81c
UFC 162: Silva vs Weidman,2013-07-06,"Las Vegas, Nevada, USA",Chris Leben vs. Andrew Craig,Chris Leben,Andrew Craig,Middleweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Yves Lavigne,Junichiro Kamijo 28 - 29. Mark Smith 29 - 28. Marcos Rosales 27 - 30.,B,Andrew Craig,http://www.ufcstats.com/event-details/e0b74df14f52cd15
UFC 162: Silva vs Weidman,2013-07-06,"Las Vegas, Nevada, USA",Anderson Silva vs. Chris Weidman,Anderson Silva,Chris Weidman,UFC Middleweight Title Bout,KO/TKO,2,1:18,5 Rnd (5-5-5-5-5),Herb Dean,Punch to Head At Distance,B,Chris Weidman,http://www.ufcstats.com/event-details/e0b74df14f52cd15
UFC 162: Silva vs Weidman,2013-07-06,"Las Vegas, Nevada, USA",Cub Swanson vs. Dennis Siver,Cub Swanson,Dennis Siver,Featherweight Bout,KO/TKO,3,2:24,3 Rnd (5-5-5),Herb Dean,Punches to Head At Distance,A,Cub Swanson,http://www.ufcstats.com/event-details/e0b74df14f52cd15
UFC 162: Silva vs Weidman,2013-07-06,"Las Vegas, Nevada, USA",Seth Baczynski vs. Brian Melancon,Seth Baczynski,Brian Melancon,Welterweight Bout,KO/TKO,1,4:59,3 Rnd (5-5-5),Yves Lavigne,Punches to Head On Ground,B,Brian Melancon,http://www.ufcstats.com/event-details/e0b74df14f52cd15
UFC 162: Silva vs Weidman,2013-07-06,"Las Vegas, Nevada, USA",Edson Barboza vs. Rafaello Oliveira,Edson Barboza,Rafaello Oliveira,Lightweight Bout,KO/TKO,2,1:44,3 Rnd (5-5-5),Herb Dean,Kicks to Leg At Distance,A,Edson Barboza,http://www.ufcstats.com/event-details/e0b74df14f52cd15
UFC 162: Silva vs Weidman,2013-07-06,"Las Vegas, Nevada, USA",Gabriel Gonzaga vs. Dave Herman,Gabriel Gonzaga,Dave Herman,Heavyweight Bout,KO/TKO,1,0:17,3 Rnd (5-5-5),Kim Winslow,Punch to Head At Distance,A,Gabriel Gonzaga,http://www.ufcstats.com/event-details/e0b74df14f52cd15
UFC 162: Silva vs Weidman,2013-07-06,"Las Vegas, Nevada, USA",Norman Parke vs. Kazuki Tokudome,Norman Parke,Kazuki Tokudome,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Steve Mazzagatti,Jeff Collins 27 - 30. Patricia Morse-Jarman 27 - 30. Adalaide Byrd 28 - 29.,A,Norman Parke,http://www.ufcstats.com/event-details/e0b74df14f52cd15
UFC 162: Silva vs Weidman,2013-07-06,"Las Vegas, Nevada, USA",Mike Pierce vs. David Mitchell,Mike Pierce,David Mitchell,Welterweight Bout,KO/TKO,2,2:55,3 Rnd (5-5-5),Steve Mazzagatti,Knee to Head In Clinch,A,Mike Pierce,http://www.ufcstats.com/event-details/e0b74df14f52cd15
UFC 162: Silva vs Weidman,2013-07-06,"Las Vegas, Nevada, USA",Mark Munoz vs. Tim Boetsch,Mark Munoz,Tim Boetsch,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Steve Mazzagatti,Junichiro Kamijo 26 - 30. Marcos Rosales 27 - 30. Patricia Morse-Jarman 28 - 29.,A,Mark Munoz,http://www.ufcstats.com/event-details/e0b74df14f52cd15
UFC 162: Silva vs Weidman,2013-07-06,"Las Vegas, Nevada, USA",Frankie Edgar vs. Charles Oliveira,Frankie Edgar,Charles Oliveira,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Yves Lavigne,Jeff Collins 27 - 30. Lester Griffin 28 - 29. Junichiro Kamijo 27 - 30.,A,Frankie Edgar,http://www.ufcstats.com/event-details/e0b74df14f52cd15
UFC 162: Silva vs Weidman,2013-07-06,"Las Vegas, Nevada, USA",Tim Kennedy vs. Roger Gracie,Tim Kennedy,Roger Gracie,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kim Winslow,Adalaide Byrd 27 - 30. Mark Smith 28 - 29. Glenn Trowbridge 27 - 30.,A,Tim Kennedy,http://www.ufcstats.com/event-details/e0b74df14f52cd15
UFC 161: Evans vs Henderson,2013-06-15,"Winnipeg, Manitoba, Canada",Rashad Evans vs. Dan Henderson,Rashad Evans,Dan Henderson,Light Heavyweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,Greg Jackson 29 - 28. Sal D'amato 28 - 29. Chris Lee 28 - 29.,A,Rashad Evans,http://www.ufcstats.com/event-details/8fd1f27e86661ede
UFC 161: Evans vs Henderson,2013-06-15,"Winnipeg, Manitoba, Canada",Mitch Clarke vs. John Maguire,Mitch Clarke,John Maguire,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jerin Valel,Greg Jackson 28 - 29. Chris Lee 28 - 29. Sal Signorino 28 - 29.,A,Mitch Clarke,http://www.ufcstats.com/event-details/8fd1f27e86661ede
UFC 161: Evans vs Henderson,2013-06-15,"Winnipeg, Manitoba, Canada",Sam Stout vs. James Krause,Sam Stout,James Krause,Lightweight Bout,Submission,3,4:47,3 Rnd (5-5-5),Adam Cheadle,Guillotine Choke From Bottom Guard,B,James Krause,http://www.ufcstats.com/event-details/8fd1f27e86661ede
UFC 161: Evans vs Henderson,2013-06-15,"Winnipeg, Manitoba, Canada",Pat Barry vs. Shawn Jordan,Pat Barry,Shawn Jordan,Heavyweight Bout,KO/TKO,1,0:59,3 Rnd (5-5-5),Jerin Valel,Punches to Head On Ground,B,Shawn Jordan,http://www.ufcstats.com/event-details/8fd1f27e86661ede
UFC 161: Evans vs Henderson,2013-06-15,"Winnipeg, Manitoba, Canada",Sean Pierson vs. Kenny Robertson,Sean Pierson,Kenny Robertson,Welterweight Bout,Decision - Majority,3,5:00,3 Rnd (5-5-5),Herb Dean,Sal D'amato 28 - 29. Jason Rodgers 28 - 29. Sal Signorino 28 - 28.,A,Sean Pierson,http://www.ufcstats.com/event-details/8fd1f27e86661ede
UFC 161: Evans vs Henderson,2013-06-15,"Winnipeg, Manitoba, Canada",Yves Jabouin vs. Dustin Pague,Yves Jabouin,Dustin Pague,Bantamweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Adam Cheadle,Greg Jackson 29 - 28. Jason Rodgers 28 - 29. Sal Signorino 28 - 29.,A,Yves Jabouin,http://www.ufcstats.com/event-details/8fd1f27e86661ede
UFC 161: Evans vs Henderson,2013-06-15,"Winnipeg, Manitoba, Canada",Roy Nelson vs. Stipe Miocic,Roy Nelson,Stipe Miocic,Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jerin Valel,Richard Bertrand 27 - 30. Chris Lee 27 - 30. Jason Rodgers 27 - 30.,B,Stipe Miocic,http://www.ufcstats.com/event-details/8fd1f27e86661ede
UFC 161: Evans vs Henderson,2013-06-15,"Winnipeg, Manitoba, Canada",Jake Shields vs. Tyron Woodley,Jake Shields,Tyron Woodley,Welterweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Yves Lavigne,Chris Lee 30 - 27. Richard Bertrand 28 - 29. Sal D'amato 28 - 29.,A,Jake Shields,http://www.ufcstats.com/event-details/8fd1f27e86661ede
UFC 161: Evans vs Henderson,2013-06-15,"Winnipeg, Manitoba, Canada",Alexis Davis vs. Rosi Sexton,Alexis Davis,Rosi Sexton,Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Richard Bertrand 28 - 29. Chris Lee 27 - 29. Jason Rodgers 28 - 29.,A,Alexis Davis,http://www.ufcstats.com/event-details/8fd1f27e86661ede
UFC 161: Evans vs Henderson,2013-06-15,"Winnipeg, Manitoba, Canada",Ryan Jimmo vs. Igor Pokrajac,Ryan Jimmo,Igor Pokrajac,Light Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Yves Lavigne,Richard Bertrand 27 - 30. Sal D'amato 27 - 30. Jason Rodgers 27 - 30.,A,Ryan Jimmo,http://www.ufcstats.com/event-details/8fd1f27e86661ede
UFC 161: Evans vs Henderson,2013-06-15,"Winnipeg, Manitoba, Canada",Roland Delorme vs. Edwin Figueroa,Roland Delorme,Edwin Figueroa,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Yves Lavigne,Richard Bertrand 28 - 29. Sal D'amato 28 - 29. Chris Lee 28 - 29.,A,Roland Delorme,http://www.ufcstats.com/event-details/8fd1f27e86661ede
UFC on FUEL TV: Nogueira vs. Werdum,2013-06-08,"Fortaleza, Ceara, Brazil",Godofredo Pepey vs. Felipe Arantes,Godofredo Pepey,Felipe Arantes,Featherweight Bout,KO/TKO,1,3:32,3 Rnd (5-5-5),Dan Miragliotta,Elbows to Head From Guard,B,Felipe Arantes,http://www.ufcstats.com/event-details/7865707fd684d77b
UFC on FUEL TV: Nogueira vs. Werdum,2013-06-08,"Fortaleza, Ceara, Brazil",Rodrigo Damm vs. Mizuto Hirota,Rodrigo Damm,Mizuto Hirota,Featherweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,Glenn Trowbridge 28 - 29. Mark Collett 29 - 28. Dean Weir 28 - 29.,A,Rodrigo Damm,http://www.ufcstats.com/event-details/7865707fd684d77b
UFC on FUEL TV: Nogueira vs. Werdum,2013-06-08,"Fortaleza, Ceara, Brazil",Antonio Rodrigo Nogueira vs. Fabricio Werdum,Antonio Rodrigo Nogueira,Fabricio Werdum,Heavyweight Bout,Submission,2,2:41,5 Rnd (5-5-5-5-5),Mario Yamasaki,Armbar On Ground,B,Fabricio Werdum,http://www.ufcstats.com/event-details/7865707fd684d77b
UFC on FUEL TV: Nogueira vs. Werdum,2013-06-08,"Fortaleza, Ceara, Brazil",Erick Silva vs. Jason High,Erick Silva,Jason High,Welterweight Bout,Submission,1,1:11,3 Rnd (5-5-5),Mario Yamasaki,Armbar On Ground,A,Erick Silva,http://www.ufcstats.com/event-details/7865707fd684d77b
UFC on FUEL TV: Nogueira vs. Werdum,2013-06-08,"Fortaleza, Ceara, Brazil",Thiago Silva vs. Rafael Cavalcante,Thiago Silva,Rafael Cavalcante,Light Heavyweight Bout,KO/TKO,1,4:29,3 Rnd (5-5-5),Dan Miragliotta,Punch to Head At Distance,A,Thiago Silva,http://www.ufcstats.com/event-details/7865707fd684d77b
UFC on FUEL TV: Nogueira vs. Werdum,2013-06-08,"Fortaleza, Ceara, Brazil",Rony Jason vs. Mike Wilkinson,Rony Jason,Mike Wilkinson,Featherweight Bout,Submission,1,1:24,3 Rnd (5-5-5),Marc Goddard,Triangle Choke From Bottom Guard Technical Submission,A,Rony Jason,http://www.ufcstats.com/event-details/7865707fd684d77b
UFC on FUEL TV: Nogueira vs. Werdum,2013-06-08,"Fortaleza, Ceara, Brazil",William Macario vs. Leonardo Santos,William Macario,Leonardo Santos,Ultimate Fighter Brazil 2 Welterweight Tournament Title Bout,Submission,2,4:43,3 Rnd (5-5-5),Marc Goddard,Arm Triangle From Mount,B,Leonardo Santos,http://www.ufcstats.com/event-details/7865707fd684d77b
UFC on FUEL TV: Nogueira vs. Werdum,2013-06-08,"Fortaleza, Ceara, Brazil",Daniel Sarafian vs. Eddie Mendez,Daniel Sarafian,Eddie Mendez,Middleweight Bout,Submission,1,2:20,3 Rnd (5-5-5),Dan Miragliotta,Arm Triangle From Mount,A,Daniel Sarafian,http://www.ufcstats.com/event-details/7865707fd684d77b
UFC on FUEL TV: Nogueira vs. Werdum,2013-06-08,"Fortaleza, Ceara, Brazil",Ildemar Alcantara vs. Leandro Silva,Ildemar Alcantara,Leandro Silva,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Guilherme Bravo 27 - 30. Mark Collett 27 - 30. Dean Weir 27 - 30.,A,Ildemar Alcantara,http://www.ufcstats.com/event-details/7865707fd684d77b
UFC on FUEL TV: Nogueira vs. Werdum,2013-06-08,"Fortaleza, Ceara, Brazil",Caio Magalhaes vs. Karlos Vemola,Caio Magalhaes,Karlos Vemola,Middleweight Bout,Submission,2,2:49,3 Rnd (5-5-5),Dan Miragliotta,Rear Naked Choke,A,Caio Magalhaes,http://www.ufcstats.com/event-details/7865707fd684d77b
UFC on FUEL TV: Nogueira vs. Werdum,2013-06-08,"Fortaleza, Ceara, Brazil",Antonio Braga Neto vs. Anthony Smith,Antonio Braga Neto,Anthony Smith,Middleweight Bout,Submission,1,1:52,3 Rnd (5-5-5),Marc Goddard,Kneebar On Ground,A,Antonio Braga Neto,http://www.ufcstats.com/event-details/7865707fd684d77b
UFC on FUEL TV: Nogueira vs. Werdum,2013-06-08,"Fortaleza, Ceara, Brazil",Raphael Assuncao vs. Vaughan Lee,Raphael Assuncao,Vaughan Lee,Bantamweight Bout,Submission,2,1:51,3 Rnd (5-5-5),Mario Yamasaki,Armbar From Mount,A,Raphael Assuncao,http://www.ufcstats.com/event-details/7865707fd684d77b
UFC 160: Velasquez vs Silva 2,2013-05-25,"Las Vegas, Nevada, USA",Dennis Bermudez vs. Max Holloway,Dennis Bermudez,Max Holloway,Featherweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,Tony Weeks 29 - 28. Lester Griffin 28 - 29. Mark Smith 28 - 29.,A,Dennis Bermudez,http://www.ufcstats.com/event-details/3c241737a6069b9f
UFC 160: Velasquez vs Silva 2,2013-05-25,"Las Vegas, Nevada, USA",Brian Bowles vs. George Roop,Brian Bowles,George Roop,Bantamweight Bout,KO/TKO,2,1:43,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance,B,George Roop,http://www.ufcstats.com/event-details/3c241737a6069b9f
UFC 160: Velasquez vs Silva 2,2013-05-25,"Las Vegas, Nevada, USA",Jeremy Stephens vs. Estevan Payan,Jeremy Stephens,Estevan Payan,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Doug Crosby 26 - 30. Roy Silbert 26 - 30. Dave Hagen 27 - 30.,A,Jeremy Stephens,http://www.ufcstats.com/event-details/3c241737a6069b9f
UFC 160: Velasquez vs Silva 2,2013-05-25,"Las Vegas, Nevada, USA",Glover Teixeira vs. James Te Huna,Glover Teixeira,James Te Huna,Light Heavyweight Bout,Submission,1,2:38,3 Rnd (5-5-5),Herb Dean,Guillotine Choke After Drop to Guard,A,Glover Teixeira,http://www.ufcstats.com/event-details/3c241737a6069b9f
UFC 160: Velasquez vs Silva 2,2013-05-25,"Las Vegas, Nevada, USA",Stephen Thompson vs. Nah-Shon Burrell,Stephen Thompson,Nah-Shon Burrell,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Steve Mazzagatti,Lester Griffin 28 - 29. Tony Weeks 27 - 30. Junichiro Kamijo 28 - 29.,A,Stephen Thompson,http://www.ufcstats.com/event-details/3c241737a6069b9f
UFC 160: Velasquez vs Silva 2,2013-05-25,"Las Vegas, Nevada, USA",Cain Velasquez vs. Antonio Silva,Cain Velasquez,Antonio Silva,UFC Heavyweight Title Bout,KO/TKO,1,1:21,5 Rnd (5-5-5-5-5),Mario Yamasaki,Punch to Head At Distance,A,Cain Velasquez,http://www.ufcstats.com/event-details/3c241737a6069b9f
UFC 160: Velasquez vs Silva 2,2013-05-25,"Las Vegas, Nevada, USA",Khabib Nurmagomedov vs. Abel Trujillo,Khabib Nurmagomedov,Abel Trujillo,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,Dave Hagen 27 - 30. Chris Lee 27 - 30. Roy Silbert 27 - 30.,A,Khabib Nurmagomedov,http://www.ufcstats.com/event-details/3c241737a6069b9f
UFC 160: Velasquez vs Silva 2,2013-05-25,"Las Vegas, Nevada, USA",Colton Smith vs. Robert Whittaker,Colton Smith,Robert Whittaker,Welterweight Bout,KO/TKO,3,0:41,3 Rnd (5-5-5),Chris Tognoni,Punch to Head At Distance,B,Robert Whittaker,http://www.ufcstats.com/event-details/3c241737a6069b9f
UFC 160: Velasquez vs Silva 2,2013-05-25,"Las Vegas, Nevada, USA",Mike Pyle vs. Rick Story,Mike Pyle,Rick Story,Welterweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Steve Mazzagatti,Chris Lee 29 - 28. Dave Hagen 28 - 29. Junichiro Kamijo 28 - 29.,A,Mike Pyle,http://www.ufcstats.com/event-details/3c241737a6069b9f
UFC 160: Velasquez vs Silva 2,2013-05-25,"Las Vegas, Nevada, USA",Donald Cerrone vs. KJ Noons,Donald Cerrone,KJ Noons,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,Doug Crosby 27 - 30. Mark Smith 27 - 30. Roy Silbert 26 - 30.,A,Donald Cerrone,http://www.ufcstats.com/event-details/3c241737a6069b9f
UFC 160: Velasquez vs Silva 2,2013-05-25,"Las Vegas, Nevada, USA",Gray Maynard vs. TJ Grant,Gray Maynard,TJ Grant,Lightweight Bout,KO/TKO,1,2:07,3 Rnd (5-5-5),Chris Tognoni,Punches to Head At Distance,B,TJ Grant,http://www.ufcstats.com/event-details/3c241737a6069b9f
UFC 160: Velasquez vs Silva 2,2013-05-25,"Las Vegas, Nevada, USA",Junior Dos Santos vs. Mark Hunt,Junior Dos Santos,Mark Hunt,Heavyweight Bout,KO/TKO,3,4:18,3 Rnd (5-5-5),Steve Mazzagatti,Kick to Head At Distance Wheel Kick,A,Junior Dos Santos,http://www.ufcstats.com/event-details/3c241737a6069b9f
UFC on FX: Belfort vs. Rockhold,2013-05-18,"Jaragua do Sul, Santa Catarina, Brazil",John Lineker vs. Azamat Gashimov,John Lineker,Azamat Gashimov,Flyweight Bout,KO/TKO,2,1:07,3 Rnd (5-5-5),Mario Yamasaki,Punch to Body At Distance,A,John Lineker,http://www.ufcstats.com/event-details/030f08370fd1c2bb
UFC on FX: Belfort vs. Rockhold,2013-05-18,"Jaragua do Sul, Santa Catarina, Brazil",Lucas Martins vs. Jeremy Larsen,Lucas Martins,Jeremy Larsen,Lightweight Bout,KO/TKO,3,0:13,3 Rnd (5-5-5),Mario Yamasaki,Punch to Head At Distance,A,Lucas Martins,http://www.ufcstats.com/event-details/030f08370fd1c2bb
